id_municipio,nome_municipio,latitude,longitude,ano,sigla_uf,bioma,data_hora,Precipitação Total < 10mm,Pressão Atmosférica entre 1015 e 1020 hPa,Temperatura Bulbo seco ACIMA DE 30°C,Temperatura Pt Orvalho abaixo de 10°C,Vento com velocidade maior que 30Km/h,Rajada max > 10 m/s,Umidade relativa do ar < 30%,Radiação Solar acima de  4 kWh/m²,Fogo
3502002,Analândia,-22087.0,-47612.0,2013,SP,Cerrado,7/29/2013 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22086.0,-47.63,2016,SP,Cerrado,8/11/2016 17:25,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22122.0,-47746.0,2019,SP,Cerrado,6/7/2019 16:45,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22135.0,-47767.0,2020,SP,Cerrado,4/8/2020 16:35,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22104.0,-47776.0,2005,SP,Cerrado,8/10/2005 16:51,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22144.0,-47664.0,2005,SP,Cerrado,8/6/2005 17:15,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22138.0,-47752.0,2006,SP,Cerrado,7/19/2006 17:00,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22122.0,-47647.0,2006,SP,Cerrado,7/8/2006 17:18,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22104.0,-47693.0,2007,SP,Cerrado,6/11/2007 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22146.0,-47753.0,2009,SP,Cerrado,10/24/2009 16:58,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22141.0,-47564.0,2010,SP,Cerrado,5/31/2010 16:38,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22.16,-47656.0,2010,SP,Cerrado,10/22/2010 16:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22161.0,-47754.0,2010,SP,Cerrado,12/21/2010 17:01,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22106.0,-47593.0,2011,SP,Cerrado,9/5/2011 16:48,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22.14,-47753.0,2011,SP,Cerrado,1/28/2011 16:25,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22115.0,-47592.0,2011,SP,Cerrado,9/5/2011 16:48,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22132.0,-47661.0,2016,SP,Cerrado,9/29/2016 16:30,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22123.0,-47755.0,2019,SP,Cerrado,4/18/2019 17:00,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22168.0,-47698.0,2020,SP,Cerrado,8/14/2020 16:35,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22.1,-47575.0,2006,SP,Cerrado,9/15/2006 17:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22162.0,-47745.0,2010,SP,Cerrado,12/30/2010 16:55,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22127.0,-47605.0,2011,SP,Cerrado,9/28/2011 16:54,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22089.0,-47593.0,2011,SP,Cerrado,9/30/2011 16:42,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22083.0,-47644.0,2013,SP,Cerrado,8/2/2013 16:43,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22075.0,-47602.0,2016,SP,Cerrado,8/19/2016 16:36,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22161.0,-47702.0,2017,SP,Cerrado,7/29/2017 17:25,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22137.0,-47724.0,2006,SP,Cerrado,4/19/2006 17:17,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22163.0,-47645.0,2010,SP,Cerrado,10/22/2010 16:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22086.0,-47621.0,2013,SP,Cerrado,5/3/2013 17:02,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22088.0,-47631.0,2013,SP,Cerrado,5/3/2013 17:02,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22082.0,-47.61,2016,SP,Cerrado,8/11/2016 17:25,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22123.0,-47753.0,2019,SP,Cerrado,4/11/2019 16:55,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22.1162,-47.64962,2022,SP,Cerrado,6/27/2022 16:58,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22114.0,-47663.0,2005,SP,Cerrado,8/23/2005 16:20,1,1,1,1,1,1,1,1,1
